Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Catoscopium;Cypripedium formosanum;;;;Grammatopteridium;Acunaeanthus
Caudalejeunea;Stegastes partitus;;;;Grammatopteris;Acustelma
Cavicularia;Miniopterus natalensis;;;;Grammitis;Acuston
Cecalyphum;Teramnus labialis;;;;Guerinia;Acystopteris
Cephalojonesia;Poa paucispicula;;;;Gymnocarpium;Ada
Cephalolejeunea;Averrhoa carambola;;;;Gymnogramma;Adamantinia
Cephalolobus;Medicago rigidula;;;;Gymnogrammitis;Adamea
Cephalomitrion;Chrysanthemum x morifolium;;;;Gymnopteris;Adamia
Cephalozia;Cleistogenes songorica;;;;Gymnosphaera;Adansonia
Cephaloziella;Digitalis lanata;;;;Gymnotheca;Addisonia
Cephaloziopsis;Excirolana hirsuticauda;;;;Gyrosorium;Adectum
Ceratodon;Pogonomyrmex barbatus;;;;Habrodictyon;Adelanthus
Ceratolejeunea;Spodoptera frugiperda;;;;Haplodictyum;Adelbertia
Cesius;Beta vulgaris subsp. maritima;;;;Haplopteris;Adelia
Ceuthospora;Gentiana stipitata;;;;Hecistopteris;Adelia
Ceuthotheca;Arabidopsis cebennensis;;;;Helminthostachys;Adelobotrys
Chaetocolea;Homalothecium fulgescens;;;;Hemesteum;Adelocaryum
Chaetomitrella;Elymus tsukushiensis;;;;Hemestheum;Adelocolia
Chaetomitriopsis;Leymus angustus;;;;Hemianemia;Adeloda
Chaetomitrium;Chrysanthemum indicum;;;;Hemicardion;Adelostemma
Chaetophora;Nassella trichotoma;;;;Hemicyatheon;Adelostigma
Chaetophyllopsis;Gymnophrys sp. ATCC 50923;;;;Hemidictyum;Adelothecium
Chamaebryum;Carthamus turkestanicus;;;;Hemigramma;Adelphia
Chamberlainia;Arabidopsis halleri subsp. halleri;;;;Hemionanthes;Adenacanthus
Chameleion;Oxytricha trifallax;;;;Hemionitis;Adenachaena
Chandonanthus;Nannophya pygmaea;;;;Hemiphlebium;Adenandra
Cheilolejeunea;Dinoponera quadriceps;;;;Hemipteris;Adenanthe
Cheilothela;Alloeochaete uluguruensis;;;;Hemistachyum;Adenanthellum
Chenia;Paracryphia alticola;;;;Hemistegia;Adenanthera
Chiastocaulon;Rhopalosiphum maidis;;;;Hemitelia;Adenanthos
Chileobryon;Bryopsis hypnoides;;;;Heterodanaea;Adenarake
Chiloscyphus;Knautia macedonica;;;;Heterogonium;Adenaria
Chionoloma;Monodelphis domestica;;;;Heteroneuron;Adenarium
Chionostomum;Croomia japonica;;;;Heteroneurum;Adenema
Chloranthelia;Manis javanica;;;;Heteroneurum;Adenia
Chondriolejeunea;Taeniatherum caput-medusae;;;;Heteronevron;Adenium
Chonecolea;Leucanthemum vulgare subsp. pujiulae;;;;Heteropteris;Adenoa
Chorisodontium;Aegilops bicornis;;;;Hewardia;Adenobasium
Chryso-hypnum;Aporrectodea icterica;;;;Hicriopteris;Adenocalymma
Chrysoblastella;Alligator sinensis;;;;Himalayopteris;Adenocalyx
Chrysocladium;Gentiana officinalis;;;;Hippochaete;Adenocarpus
Chrysohypnum;Bromus catharticus;;;;Histiopteris;Adenocaulon
Cincinnulus;Miscophus bicolor;;;;Holcosorus;Adenochilus
Cinclidium;Plocamium cartilagineum;;;;Holodictyum;Adenochlaena
Cinclidotus;Rimicaris exoculata;;;;Holostachyum;Adenocline
Circulifolium;Diaphorina citri;;;;Holttumia;Adenocritonia
Cirriphyllum;Carassius auratus;;;;Holttumiella;Adenodaphne
Cladastomum;Holcus lanatus;;;;Homalosorus;Adenoderris
Cladiantholejeunea;Nyssa sinensis;;;;Homophyllum;Adenodolichos
Cladocolea;Pyrenaria pingpienensis;;;;Humata;Adenoglossa
Cladodium;Ankistrodesmus falcatus;;;;Huperzia;Adenogramma
Cladolejeunea;Elymus stipifolius;;;;Hyalolepis;Adenola
Cladomastigum;Plutella xylostella;;;;Hydroglossum;Adenolinum
Cladomnion;Oryza meridionalis;;;;Hymenasplenium;Adenolisianthus
Cladomniopsis;Silene diclinis;;;;Hymenocystis;Adenolobus
Cladophascum;Lytechinus variegatus;;;;Hymenodium;Adenoncos
Cladopodanthus;Elettaria cardamomum;;;;Hymenoglossum;Adenonema
Cladopodiella;Heterothalamus alienus;;;;Hymenolepis;Adenoon
Clandarium;Lactuca dolichophylla;;;;Hymenophyllopsis;Adenopappus
Claopodium;Coccomyxa subellipsoidea C-169;;;;Hymenophyllum;Adenopeltis
Clasmatocolea;Eutrema halophilum;;;;Hymenostachys;Adenophaedra
Clasmatodon;Bathycoccus prasinos;;;;Hypochlamys;Adenophora
Clastobryella;Secale cereale x Triticum turgidum subsp. durum;;;;Hypoderris;Adenophorus
Clastobryophilum;Cimex lectularius;;;;Hypolepis;Adenophyllum
Clastobryopsis;Geum rupestre;;;;Hypopeltis;Adenoplea
Clastobryum;Gastrodia elata;;;;Hypopterygiopsis;Adenoplusia
Clavitheca;uncultured Glomus;;;;Idiogramma;Adenopodia
Cleistocarpidium;Ictalurus punctatus;;;;Idiopteris;Adenopogon
Cleistostoma;Saussurea involucrata;;;;Isoetella;Adenoporces
Clevea;Franklandia triaristata;;;;Isoetes;Adenopus
Climacium;Drosophila bipectinata;;;;Isoloma;Adenorachis
Cnestrum;Diospyros lotus;;;;Ithycaulon;Adenorandia
Codonoblepharon;Thinopyrum bessarabicum;;;;Jamesonia;Adenosacme
Codonoblepharum;Ctenocephalides felis;;;;Japanobotrychium;Adenosciadium
Codriophorus;Cucurbita pepo;;;;Japanobotrychum;Adenosma
Coelidium;Juglans regia;;;;Jenkinsia;Adenosolen
Coleochaetium;Holcus mollis;;;;Kaulfussia;Adenostachya
Colobodontium;Meleagris gallopavo;;;;Kaulinia;Adenostegia
Cololejeunea;Cebus capucinus imitator;;;;Kontumia;Adenostemma
Colura;Geranium maderense;;;;Kuniwatsukia;Adenostephanus
Colurolejeunea;Orycteropus afer afer;;;;Lacaussadea;Adenostoma
Conardia;Agrostis gigantea;;;;Lacostea;Adenostyles
Conocephalum;Sinocyclocheilus grahami;;;;Lacosteopsis;Adenostylium
Conomitrium;Amblyopyrum muticum;;;;Lastrea;Adenothamnus
Conoscyphus;Vancouveria planipetala;;;;Lastreopsis;Adesmia
Conostomum;Avena insularis;;;;Lecanopteris;Adhatoda
Corsinia;Hordeum brachyantherum subsp. californicum;;;;Lellingeria;Adianthum
Corynotheca;Lutzomyia verrucarum;;;;Lemma;Adiantopsis
Coscinodon;Viscum crassulae;;;;Lemmaphyllum;Adiantum
Coscinodontella;Lobochlamys culleus;;;;Lenda;Adicea
Costesia;Ceratina calcarata;;;;Lepicystis;Adike
Craspedophyllum;Coffea canephora;;;;Lepidocaulon;Adina
Crassiphyllum;Artemisia cana subsp. cana;;;;Lepidogrammitis;Adinandra
Cratoneurella;Lepturacanthus savala;;;;Lepidomicrosorium;Adinandrella
Cratoneuron;Phascolarctos cinereus;;;;Lepidoneuron;Adinauclea
Cratoneuropsis;Elymus tauri;;;;Lepidonevron;Adipera
Crepidophyllum;Prunus persica;;;;Lepidotis;Adiscanthus
Cribrodontium;Centaurea cyanus;;;;Lepisorus;Adlumia
Cronisia;Parinari campestris;;;;Leptochilus;Adnaria
Crosbya;Gossypium trilobum;;;;Leptocionium;Adoketon
Crossidium;Quercus robur;;;;Leptogramma;Adolia
Crossocalyx;Malania oleifera;;;;Leptolepia;Adolphia
Crossogyna;Aristida ternipes;;;;Leptolepidium;Adonanthe
Crossomitrium;Lonicera dasystyla;;;;Leptopteris;Adonidia
Crossotolejeunea;Schistosoma japonicum;;;;Leptorumohra;Adonis
Crumia;Wurmbea kraussii;;;;Leucomanes;Adopogon
Crumuscus;Orobanche densiflora;;;;Leucostegia;Adorium
Cryphaea;Ranunculus cacuminis;;;;Leucotrichum;Adoxa
Cryphaeadelphus;Microplitis demolitor;;;;Lindsaea;Adrastaea
Cryphaeophilum;Ainsliaea fragrans var. integrifolia;;;;Lindsaenium;Adriana
Cryphidium;Ranunculus keniensis;;;;Lindsaynium;Adromischus
Cryptocarpon;Lathyrus japonicus;;;;Lindsayopsis;Adrorhizon
Cryptochila;Nymphaea hybrid cultivar;;;;Lithostegia;Adyseton
Cryptocolea;Leymus coreanus;;;;Litobrochia;Aechmandra
Cryptocoleopsis;Nardus stricta;;;;Litolobium;Aechmea
Cryptodicranum;Macropicola ocydromi;;;;Llavea;Aechmophora
Cryptogonium;Pulsatilla albana;;;;Lomagramma;Aedesia
Cryptogynolejeunea;Eschweilera caudiculata;;;;Lomaphlebia;Aegialina
Cryptoleptodon;Olea europaea subsp. laperrinei;;;;Lomaria;Aegialitis
Cryptomitrium;Silene davidii;;;;Lomaridium;Aegialophila
Cryptopapillaria;Clarireedia homoeocarpa;;;;Lomariobotrys;Aegiceras
Cryptopodia;Haliplus sp. BMNH 1425121;;;;Lomariopsis;Aegilops
Cryptopodium;Haliotis tuberculata tuberculata;;;;Lonchitis-aspera;Aegilotrichum
Cryptostipula;Hylocereus polyrhizus;;;;Lophidium;Aegilotriticum
Cryptothallus;Actinote surima;;;;Lophodium;Aeginetia
Cryptotheca;Trichinella spiralis;;;;Lopholepis;Aegiphila
Ctenidiadelphus;Tanacetum walteri;;;;Lophosoria;Aegle
Ctenidium;Anopheles gambiae;;;;Lorinseria;Aeglopsis
Ctenium;Schrebera arborea;;;;Loxogramme;Aegochloa
Cupressina;Aegilops cylindrica;;;;Loxoma;Aegokeras
Curvicladium;Bactrocera oleae;;;;Loxoscaphe;Aegonychon
Curviramea;Dipterocladia arabiensis;;;;Loxsoma;Aegopodium
Cuspidaria;Leymus multicaulis;;;;Loxsomopsis;Aegopogon
Cuspidatula;Chiliadenus lopadusanus;;;;Luerssenia;Aelbroeckia
Cyanolophocolea;Petunia integrifolia subsp. inflata;;;;Luisma;Aellenia
Cyathodium;Populus euphratica;;;;Lunathyrium;Aeluropus
Cyathophorella;Ranunculus occidentalis;;;;Lycopodiastrum;Aenhenrya
Cyathophorum;Parus major;;;;Lycopodiella;Aenictophyton
Cyathothecium;Phyllostachys propinqua;;;;Lycopodiodes;Aenigmatanthera
Cyclodictyon;Orussus abietinus;;;;Lycopodioides;Aenigmopteris
Cyclolejeunea;Catharanthus roseus;;;;Lycopodium;Aeolanthus
Cygnicollum;Larimichthys crocea;;;;Lygodictyon;Aeollanthus
Cygniella;Solenopsis bivonae;;;;Lygodium;Aeonia
Cylicocarpus;Pediculus humanus corporis;;;;Macroglena;Aeoniopsis
Cylindrocolea;Piliocolobus tephrosceles;;;;Macroglossum;Aeonium
Cylindrothecium;Osmundastrum cinnamomeum;;;;Macroplethus;Aequatoriella
Cynodon;Poa pratensis;;;;Macrothelypteris;Aequatorium
Cynodontiella;Chlamydomonas reinhardtii;;;;Mankyua;Aerangis
Cynodontium;Alopecurus myosuroides;;;;Marattia;Aeranthes
Cynontodium;Coccomyxa subellipsoidea;;;;Marginaria;Aeranthus
Cyptodon;Callorhinus ursinus;;;;Marsilea;Aerides
Cyptodontopsis;Saccharum hybrid cultivar SP80-87432;;;;Maschalosorus;Aeridovanda
Cyrto-hypnum;Chasmanthium laxum;;;;Matonia;Aerobryidium
Cyrtolejeunea;Plantago lanceolata;;;;Matteuccia;Aerobryopsis
Cyrtomnium;Parrotia subaequalis;;;;Maxonia;Aerobryum
Cyrtopodendron;Asclepias syriaca;;;;Mecodium;Aerolindigia
Cyrtopus;Matricaria matricarioides;;;;Mecosorus;Aerva
Cystolejeunea;Plantago maritima;;;;Megalastrum;Aeschrion
Dacryophyllum;Echinacanthus longzhouensis;;;;Melpomene;Aeschynanthus
Dactylolejeunea;Exaiptasia pallida;;;;Meniscium;Aeschynomene
Dactylophorella;Eremopyrum distans;;;;Menisorus;Aesculus
Daltonia;Oxytropis maydelliana;;;;Meringium;Aetanthus
Dasymitrium;Dunnia sinensis;;;;Merinthosorus;Aetheilema
Dawsonia;Neobartsia pedicularoides;;;;Mertensia;Aetheolaena
Delavayella;Eulaliopsis binata;;;;Mesochlaena;Aetheolirion
Dendro-hypnum;Batis maritima;;;;Mesoneuron;Aetheopappus
Dendroalsia;Misopates orontium;;;;Mesophlebion;Aetheorhiza
Dendrobazzania;Entamoeba dispar SAW760;;;;Mesopteris;Aetheorhyncha
Dendroceros;Dipsacus laciniatus;;;;Mesosorus;Aethephyllum
Dendrocryphaea;Nyholmiella obtusifolia;;;;Mesothema;Aetheria
Dendrocyathophorum;Boechera stricta;;;;Metapolypodium;Aethionema
Dendrohypopterygium;Drosophila grimshawi;;;;Metathelypteris;Aethusa
Dendrolejeunea;Leymus cinereus x Leymus triticoides;;;;Metaxya;Aetopteron
Dendroligotrichum;Theileria orientalis strain Shintoku;;;;Mickelia;Aetoxylon
Dendromastigophora;Gossypium herbaceum;;;;Microbrochis;Aextoxicon
Dendropogon;Hyoscyamus niger;;;;Microgonium;Affonsea
Dendropogonella;Pelargonium quinquelobatum;;;;Microgramma;Afgekia
Denotarisia;Hordeum pubiflorum;;;;Microlepia;Afraegle
Dermatodon;Matricaria chamomilla var. recutita;;;;Micropodium;Afrafzelia
Desmatodon;Dipsacus japonicus;;;;Micropolypodium;Aframmi
Desmotheca;Saxifraga acerifolia;;;;Micropteris;Aframomum
Dialytrichia;Silene wilfordii;;;;Microschizaea;Afraurantium
Dianthelia;Ledebouriella seseloides;;;;Microsorum;Afrobrunnichia
Diaphanodon;Gentiana lutea;;;;Microstaphyla;Afrocalathea
Diaphanophyllum;Aletris fauriei;;;;Microterus;Afrocanthium
Dichelodontium;Vespa orientalis;;;;Microtrichomanes;Afrocarpus
Dichelyma;Lupinus atlanticus;;;;Mildella;Afrodaphne
Dichiton;Cercocebus atys;;;;Mohria;Afrofittonia
Dichodontium;Amynthas sp. 3 LZ-2016;;;;Monachosorella;Afroguatteria
Dicladiella;Dinocampus coccinellae;;;;Monachosorum;Afrolicania
Dicladolejeunea;Procambarus acutus;;;;Monochlaena;Afroligusticum
Dicnemoloma;Lates calcarifer;;;;Monogonia;Afrolimon
Dicnemon;Triticum monococcum;;;;Monogramma;Afromendoncia
Dicranella;Cyprinodon variegatus;;;;Monomelangium;Afropteris
Dicranodon;Brachythecium rutabulum;;;;Moranopteris;Afrormosia
Dicranodontium;Paspalum atratum;;;;Mortoniopteris;Afrosciadium
Dicranolejeunea;Aegilops comosa;;;;Myriodon;Afrosersalisia
Dicranoloma;Vigna angularis var. angularis;;;;Myriopteris;Afrosison
Dicranoweisia;Hedwigia ciliata;;;;Myriotheca;Afrostyrax
Dicranum;Oryza eichingeri;;;;Myrmecophila;Afrothismia
Didymodon;Deschampsia antarctica;;;;Myrmecopteris;Afrotrewia
Dimerodontium;Claytonia virginica;;;;Myrmecostylum;Afrotrichloris
Dimorphella;Erigeron bellidiastrum;;;;Nannothelypteris;Afrotrilepis
Dimorphocladon;Hippophae rhamnoides;;;;Negripteris;Afrotysonia
Dinckleria;Oryza brachyantha;;;;Nematopteris;Afrovivella
Diobelon;Aedes albopictus;;;;Neocheiropteris;Afzelia
Diobelonella;Pleioblastus fortunei;;;;Neolepisorus;Agalinis
Diphascum;Anthoxanthum aristatum;;;;Neotriblemma;Agallochum
Diphyscium;Drosophila ananassae;;;;Neottopteris;Agalma
Diplasiolejeunea;Chlorella variabilis;;;;Nephelea;Agalmyla
Diplocolea;Aptostichus hedinorum;;;;Nephopteris;Agaloma
Diplocomium;Ipomoea trifida;;;;Nephrodium;Aganippea
Diplomitrion;Salix purpurea;;;;Nephrolepis;Aganisia
Diploneuron;Vicia narbonensis;;;;Nesolindsaea;Aganonerion
Diplophyllum;Begonia strigillosa;;;;Nesopteris;Aganope
Diplostichum;Meloidogyne enterolobii;;;;Nesoris;Aganosma
Discelium;Triodia stipoides;;;;Neurocallis;Agapanthus
Discophyllum;Leucaena trichandra;;;;Neurodium;Agapetes
Dissodon;Erodium texanum;;;;Neurogramma;Agarista
Distichia;Anthoxanthum hirtum;;;;Neuromanes;Agastache
Distichium;Capsella rubella;;;;Neuronia;Agastachys
Distichophyllidium;Drosophila mojavensis;;;;Neurophyllum;Agasthiyamalaia
Distichophyllum;Silene noctiflora;;;;Neuroplatyceros;Agasyllis
Ditrichopsis;Trifolium meduseum;;;;Neuropteris;Agatea
Ditrichum;Oryza meyeriana;;;;Neurosoria;Agathaea
Dixonia;Pomacea canaliculata;;;;Nevrodium;Agathelpis
Dolichomitra;Hordeum murinum subsp. murinum;;;;Niphidium;Agathis
Dolichomitriopsis;Anadenanthera colubrina var. cebil;;;;Niphobolus;Agathisanthemum
Dolichotheca;Copidosoma floridanum;;;;Nistarika;Agathophora
Dolotortula;Vitis vinifera;;;;Notholaena;Agathophyllum
Donnellia;Caenorhabditis sp. 34 TK-2017;;;;Nothoperanema;Agathosma
Donrichardsia;Cucurbita maxima;;;;Notolepeum;Agathotes
Dorcadion;Poa ursina;;;;Ochlogramma;Agathyrsus
Douinia;Wisteria floribunda;;;;Ochropteris;Agati
Dozya;Amaranthus palmeri;;;;Odontoloma;Agation
Drepanium;Streptocarpus teitensis;;;;Odontosoria;Agauria
Drepano-hypnum;Cerastium dichotomum subsp. inflatum;;;;Oenotrichia;Agave
Drepanocladus;Sorghum bicolor;;;;Oeosporangium;Agdestis
Drepanolejeunea;Egretta eulophotes;;;;Oetosis;Agelaea
Drepanophyllaria;Chelonia mydas;;;;Oleandra;Agelanthus
Drepanophyllum;Drosophila ficusphila;;;;Oleandropsis;Agenium
Drucella;Hydrangea serrata;;;;Olfersia;Ageratella
Drummondia;Vicia hirsuta;;;;Oligocampia;Ageratina
Dryptodon;Stilpnolepis centiflora;;;;Onoclea;Ageratinastrum
Dubyella;Eutrema salsugineum;;;;Onocleopsis;Ageratum
Dumortiera;Festuca ovina;;;;Onychium;Ageria
Dumortieropsis;Thinopyrum ponticum;;;;Oochlamys;Agiabampoa
Dusenia;Lupinus albus;;;;Ophioderma;Agialida
Duthiella;uncultured Pseudocohnilembus sp.;;;;Ophioglossum;Agianthus
Eccremidium;Nicotiana attenuata;;;;Ophiopteris;Aglaia
Echinocolea;Mycalesis mineus;;;;Oreogrammitis;Aglaodorum
Echinodiopsis;Stipagrostis uniplumis var. uniplumis;;;;Oreopteris;Aglaomorpha
Echinodium;Mitosporidium daphniae;;;;Ormoloma;Aglaonema
Echinolejeunea;Actinidia deliciosa;;;;Ornithopteris;Aglitheis
Echinomitrion;Crocodylus porosus;;;;Orthiopteris;Aglossorrhyncha
Echinophyllum;Chondrostega vandalicia;;;;Orthogramma;Agnesia
Ectropotheciella;Astragalus membranaceus var. membranaceus;;;;Osmolindsaea;Agnirictus
Ectropotheciopsis;Anacyclus valentinus;;;;Osmunda;Agnorhiza
Ectropothecium;Vicia villosa;;;;Osmundastrum;Agonandra
Eleutera;Syringa vulgaris;;;;Osmundopteris;Agonis
Elharveya;Antirrhinum majus;;;;Oxygonium;Agoseris
Elmeriobryum;Silene latifolia;;;;Pachypleuria;Agouticarpa
Elodium;Ziziphus jujuba;;;;Paesia;Agraulus
Encalypta;Vahlodea atropurpurea;;;;Palhinhaea;Agretta
Endotrichella;Poa diaphora var. songarica;;;;Paltonium;Agrianthus
Endotrichellopsis;Stephanomeria cichoriacea;;;;Papuapteris;Agrimonia
Endotrichum;Vachellia flava;;;;Parablechnum;Agriophyllum
Enigmella;Nicotiana tomentosiformis;;;;Paraceterach;Agriphyllum
Entodon;Danio rerio;;;;Paradavallodes;Agrocharis
Entodontella;Phonus rhiphaeus;;;;Paradennstaedtia;Agropogon
Entodontopsis;Avena vaviloviana;;;;Paragramma;Agropyron
Entosthodon;Lonicera caerulea;;;;Parahemionitis;Agropyropsis
Entosthymenium;Stichococcus bacillaris;;;;Paraleptochilus;Agrostemma
Eobruchia;Orobanche austrohispanica;;;;Parapolystichum;Agrostis
Eocalypogeia;Microcebus murinus;;;;Paraselliguea;Agrostistachys
Eohypopterygiopsis;Brachypodium sylvaticum;;;;Parasorus;Agrostocrinum
Eoisotachis;Euglena archaeoplastidiata;;;;Parathelypteris;Agrostophyllum
Eoleucodon;Astyanax mexicanus;;;;Parathyrium;Agrostopoa
Eopleurozia;Alstonia scholaris;;;;Parestia;Agrotriticum
Eopolytrichum;Campanula scouleri;;;;Parkeria;Aguiaria
Eotrichocolea;Eucodonia andrieuxii;;;;Patania;Agyneia
Ephemerella;Veronica persica;;;;Pecluma;Ahernia
Ephemeridium;Cinna latifolia;;;;Pellaea;Ahouai
Ephemeropsis;embryophyte environmental sample;;;;Pellaeopsis;Ahzolia
Ephemerum;Bombax ceiba;;;;Peltapteris;Aichryson
Epipterygium;Drosera regia;;;;Peltochlaena;Aidema
Eremodon;Oryza meyeriana var. granulata;;;;Pentagramma;Aidia
Eremonotus;Desmodesmus pannonicus;;;;Peranema;Aidiopsis
Eriodon;Hyparrhenia papillipes;;;;Pessopteris;Ailanthus
Eriopus;Pinus taeda;;;;Phanerophlebia;Ailantopsis
Erpodiopsis;Psacothea hilaris;;;;Phanerophlebiopsis;Ailuroschia
Erpodium;Drosophila obscura;;;;Phanerosorus;Aimorra
Erythrobarbula;Stomoxys calcitrans;;;;Phegopteris;Ainsliaea
Erythrodontium;Styphnolobium japonicum;;;;Phlebodium;Ainsliea
Erythrophyllastrum;Acanthisitta chloris;;;;Phlegmariurus;Ainsworthia
Erythrophyllopsis;Porterella carnosula;;;;Phorolobus;Aiouea
Erythrophyllum;Acropora digitifera;;;;Photinopteris;Aiphanes
Esenbeckia;Asparagus officinalis;;;;Phyllitis;Aira
Eucalyx;Pediastrum duplex;;;;Phyllitopsis;Airampoa
Eucamptodon;Phyllostachys edulis;;;;Phymatodes;Airochloa
Eucamptodontopsis;Poa pseudobulbosa;;;;Phymatopsis;Airopsis
Eucatagonium;Aname sp. MYG271;;;;Phymatopteris;Airosperma
Eucladium;Dipteryx panamensis;;;;Phymatosorus;Airyantha
Euephemerum;Drosophila yakuba;;;;Physematium;Aistopetalum
Eulacophyllum;Dicrocoelium dendriticum;;;;Pichisermollia;Aitchisoniella
Eulejeunea;Isachne albens;;;;Pichisermollodes;Aizoanthemum
Eumyurium;Hordeum brevisubulatum;;;;Pilularia;Aizodraba
Euosmolejeunea;Debregeasia saeneb;;;;Pityrogramma;Aizoon
Euptychium;Tetrahymena thermophila SB210;;;;Pityromeria;Aizopsis
Eurhynchiadelphus;Zea diploperennis;;;;Plagiogyria;Ajania
Eurhynchiastrum;Gerbera hybrid cultivar;;;;Plananthus;Ajaniopsis
Eurhynchiella;Zizaniopsis villanensis;;;;Platycerium;Ajuga
Eurhynchium;Anolis carolinensis;;;;Platygyria;Ajugoides
Eurohypnum;Marshallia obovata;;;;Platyloma;Akania
Eustichia;Oryza officinalis;;;;Platytaenia;Akeassia
Eustichium;Drosophila biarmipes;;;;Platyzoma;Akebia
Euzygodon;Trypanosoma brucei gambiense DAL972;;;;Plecosorus;Akrosida
Evansia;Capelio caledonica;;;;Plectopteris;Akschindlium
Evansianthus;Atractylodes chinensis;;;;Plenasium;Alafia
Evansiolejeunea;Hypophthalmichthys nobilis;;;;Pleocnemia;Alagophylla
Exodictyon;Poa stenantha;;;;Pleopeltis;Alamania
Exodokidium;Dasypyrum villosum;;;;Pleopodium;Alangium
Exormotheca;Ascaris lumbricoides;;;;Plesioneuron;Alania
Exostratum;Littledalea przevalskyi;;;;Pleuridium;Alansmia
Exsertotheca;uncultured fungus;;;;Pleuroderris;Alantsilodendron
Fabroleskea;Aconitum barbatum var. puberulum;;;;Pleurofossa;Alaternus
Fabronia;Juncus compressus;;;;Pleurogramme;Alaticaulia
Fabronidium;Fraxinus chiisanensis;;;;Pleuromanes;Alatiliparis
Fallaciella;Rhabditophanes sp. KR3021;;;;Pleurosoriopsis;Alatoseta
Fauriella;Hordeum murinum subsp. leporinum;;;;Pleurosorus;Alberta
Felipponea;Oxyria sinensis;;;;Pneumatopteris;Albertia
Fiedleria;Aphyllon epigalium subsp. epigalium;;;;Podopeltis;Albertinia
Fifea;Portulaca oleracea;;;;Podosorus;Albertisia
Fimbraria;Lespedeza capitata;;;;Poecilopteris;Albertokuntzea
Fimbriaria;Taeniatherum caput-medusae subsp. caput-medusae;;;;Polybotrya;Albidella
Fissidens;Cicer arietinum;;;;Polycampium;Albizia
Flabellidium;Odontadenia perrottetii;;;;Polydictyum;Albovia
Flatbergium;Schismus arabicus;;;;Polyphlebium;Alboviodoxa
Fleischerobryum;Oryza sativa f. spontanea;;;;Polypodiastrum;Albrandia
Floribundaria;Enhydra lutris kenyoni;;;;Polypodiodes;Albraunia
Florschuetziella;Stevia rebaudiana;;;;Polypodiopsis;Albuca
Flowersia;Panicum virgatum;;;;Polypodiopteris;Albugoides
Folioceros;Leptophyllochloa micrathera;;;;Polypodium;Alcantarea
Fontinalis;Blakiella bartsiifolia;;;;Polystichopsis;Alcea
Foreauella;Paeonia suffruticosa;;;;Polystichum;Alchemilla
Forsstroemia;Tragus andicola;;;;Polytaenium;Alchornea
Fossombronia;Canis lupus familiaris;;;;Pomataphytum;Alchorneopsis
Frahmiella;Selasphorus rufus;;;;Prionopteris;Alcicornium
Franciella;Beta vulgaris subsp. vulgaris;;;;Proferea;Aldama
Frullania;Dendroctonus ponderosae;;;;Pronephrium;Aldina
