Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Calyptrochaeta;Pseudoroegneria spicata;;;;Elaphoglossum;Actinella
Calyptrocolea;Solanum lycopersicum;;;;Ellobocarpus;Actinidia
Campanocolea;Avena strigosa;;;;Emodiopteris;Actiniopteris
Camptochaete;Mus caroli;;;;Enterosora;Actinobole
Camptodontium;Heterometrus spinifer;;;;Epidryopteris;Actinocarya
Camptothecium;Esox lucius;;;;Equisetum;Actinocephalus
Campyliadelphus;Nitella hyalina;;;;Eremopodium;Actinocheita
Campylidium;Arachis stenosperma;;;;Eriochasma;Actinocladum
Campylium;Lolium perenne;;;;Eriosonia;Actinodaphne
Campylodontium;Pangasianodon hypophthalmus;;;;Eriosoriopsis;Actinodium
Campylolejeunea;Plantago patagonica;;;;Eriosorus;Actinodontium
Campylophyllum;Cynomorium coccineum;;;;Eschatogramme;Actinokentia
Campylopodiella;Oxalis laxa;;;;Eupodium;Actinolema
Campylopodium;Aegilops ventricosa;;;;Fadyenia;Actinolepis
Campylopus;Triticum turgidum subsp. durum;;;;Feea;Actinomeris
Campylostelium;Poritia erycinoides;;;;Filicula;Actinophlebia
Canalohypopterygium;Glycine max;;;;Filicula;Actinorhytis
Capillolejeunea;Vicia faba;;;;Filix;Actinoschoenus
Cardiolejeunea;Anthoxanthum sp. Forest 861;;;;Filix-foemina;Actinoscirpus
Cardotia;Panicum miliaceum;;;;Filix-mas;Actinoseris
Cardotiella;Odobenus rosmarus divergens;;;;Fourniera;Actinospermum
Caribaeohypnum;Hordeum vulgare subsp. vulgare;;;;Galeoglossa;Actinospora
Carinafolium;Salvia miltiorrhiza;;;;Glaphyropteridopsis;Actinostachys
Carpolepidum;Pityopus californicus;;;;Glaphyropteris;Actinostemma
Carringtonia;Drosophila arizonae;;;;Gleichenella;Actinostemon
Castanoclobos;Pelochares sp. INB042;;;;Gleichenia;Actinostrobus
Catagoniopsis;Puccinellia tenuiflora;;;;Gleicheniastrum;Actinothuidium
Catagonium;Ptychomnion cygnisetum;;;;Glyphotaenium;Actinotus
Catharinea;Cyphomyrmex costatus;;;;Goniophlebium;Acuan
Catharinella;Ficus carica;;;;Goniopteris;Acuania
Catharomnion;Papaver somniferum;;;;Gonocormus;Acuba
